Home_team,Season,attendance,Week
Detroit Lions,1992,60594,9
Denver Broncos,1992,Bye,9
Dallas Cowboys,1992,65012,9
Chicago Bears,1992,61257,9
Cleveland Browns,1992,54765,9
Atlanta Falcons,1992,62168,9
Cincinnati Bengals,1992,54765,9
New Orleans Saints,1993,69029,1
New England Patriots,1993,79751,1
Minnesota Vikings,1993,50000,1
Miami Dolphins,1993,51858,1
Los Angeles Rams,1993,54648,1
Los Angeles Raiders,1993,50000,1
Kansas City Chiefs,1993,63378,1
Indianapolis Colts,1993,51858,1
Houston Oilers,1993,69029,1
Green Bay Packers,1993,54648,1
Detroit Lions,1993,56216,1
Denver Broncos,1993,68130,1
Tampa Bay Buccaneers,1993,63378,1
Cleveland Browns,1993,75508,1
Cincinnati Bengals,1993,75508,1
Chicago Bears,1993,66900,1
Buffalo Bills,1993,79751,1
Atlanta Falcons,1993,56216,1
Philadelphia Eagles,1993,59831,1
Phoenix Cardinals,1993,59831,1
Pittsburgh Steelers,1993,57502,1
San Diego Chargers,1993,58039,1
San Francisco 49ers,1993,57502,1
Seattle Seahawks,1993,58039,1
New York Giants,1993,66900,1
Washington Redskins,1993,56345,1
Dallas Cowboys,1993,56345,1
New York Jets,1993,68130,1
New Orleans Saints,1993,Bye,10
New England Patriots,1993,54326,10
Minnesota Vikings,1993,54960,10
Miami Dolphins,1993,71306,10
Los Angeles Rams,1993,Bye,10
Los Angeles Raiders,1993,59750,10
Kansas City Chiefs,1993,76742,10
Indianapolis Colts,1993,55523,10
Houston Oilers,1993,50447,10
Green Bay Packers,1993,76742,10
Detroit Lions,1993,65295,10
Denver Broncos,1993,77818,10
Tampa Bay Buccaneers,1993,65295,10
Cleveland Browns,1993,77818,10
Cincinnati Bengals,1993,51202,10
Chicago Bears,1993,59750,10
Buffalo Bills,1993,54326,10
Atlanta Falcons,1993,Bye,10
Philadelphia Eagles,1993,41634,10
Phoenix Cardinals,1993,41634,10
Pittsburgh Steelers,1993,51202,10
San Diego Chargers,1993,54960,10
San Francisco 49ers,1993,Bye,10
Seattle Seahawks,1993,50447,10
New York Giants,1993,64735,10
Washington Redskins,1993,55523,10
Dallas Cowboys,1993,64735,10
New York Jets,1993,71306,10
New Orleans Saints,1993,69043,11
New England Patriots,1993,Bye,11
Minnesota Vikings,1993,67329,11
Miami Dolphins,1993,64213,11
Los Angeles Rams,1993,37073,11
Los Angeles Raiders,1993,66553,11
Kansas City Chiefs,1993,66553,11
Indianapolis Colts,1993,47351,11
Houston Oilers,1993,42347,11
Green Bay Packers,1993,69043,11
Detroit Lions,1993,Bye,11
Denver Broncos,1993,67329,11
Tampa Bay Buccaneers,1993,43835,11
Cleveland Browns,1993,54622,11
Cincinnati Bengals,1993,42347,11
Chicago Bears,1993,58459,11
Buffalo Bills,1993,60265,11
Atlanta Falcons,1993,37073,11
Philadelphia Eagles,1993,64213,11
Phoenix Cardinals,1993,64224,11
Pittsburgh Steelers,1993,60265,11
San Diego Chargers,1993,58459,11
