Team,Stadium,Years used,Capacity,Opened,Surface,Location,URL,lat,lon,Year_start,Year_end
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),SoFi Stadium ,2020–present,70000,2020,Artificial Turf,"Inglewood, California url:https://en.wikipedia.org/wiki/Inglewood,_California",https://en.wikipedia.org/wiki/SoFi_Stadium,33.95345,-118.3392,2020,present
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Los Angeles Memorial Coliseum ,2016–2019 1946–1979,93607,1923,Grass,"Los Angeles, California",https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum,34.01417,-118.28778,2016,2019 1946
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Edward Jones Dome ,1995–2015,66000,1995,AstroTurf (2005–present) FieldTurf (2005–2010) AstroTurf (1995–2004),"St. Louis, Missouri",https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center,38.63278,-90.18861,1995,2015
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Busch Stadium (II) ,1995,49676,1966,AstroTurf,"St. Louis, Missouri",https://en.wikipedia.org/wiki/Busch_Memorial_Stadium,38.62389,-90.1925,1995,
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Anaheim Stadium ,1980–1994,64593,1966,Grass,"Anaheim, California url:https://en.wikipedia.org/wiki/Anaheim,_California",https://en.wikipedia.org/wiki/Anaheim_Stadium,33.80028,-117.88278000000001,1980,1994
San Francisco 49ers,Levi's Stadium ,2014–present,68983,2014,Grass,"Santa Clara, California url:https://en.wikipedia.org/wiki/Santa_Clara,_California",https://en.wikipedia.org/wiki/Levi%27s_Stadium,37.403,-121.97,2014,present
San Francisco 49ers,Candlestick Park ,1971–2013,64450,1960,Grass (1979–present) AstroTurf (1971–1978),"San Francisco, California",https://en.wikipedia.org/wiki/Candlestick_Park,37.713609999999996,-122.38611000000002,1971,2013
Seattle Seahawks,CenturyLink Field ,2002–present,68000,2002,Field Turf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/CenturyLink_Field,47.5952,-122.3316,2002,present
Seattle Seahawks,Husky Stadium ,2000–2001 Three games in 1994,72500,1920,Field Turf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/Husky_Stadium,47.65028,-122.30167,2000,2001 Three games in 1994
Seattle Seahawks,Kingdome ,1976–1999,66000,1976,AstroTurf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/Kingdome,47.595279999999995,-122.33138999999998,1976,1999
